"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that all footer links navigate to the correct page and display the expected heading.","1393","Test Footer Links","","Tue Sep 24 23:13:44 GST 2024","passed","Tue Sep 24 23:13:45 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1963","Test Footer Links","","Tue Sep 24 23:13:31 GST 2024","passed","Tue Sep 24 23:13:33 GST 2024","","UI Tests","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","5579","Test Menu Item Navigation","","Tue Sep 24 23:12:54 GST 2024","passed","Tue Sep 24 23:12:59 GST 2024","","UI Tests","",""
"Verifies that a product can be added to the cart and displayed correctly.","1467","Test Add Product to Cart","","Tue Sep 24 23:13:15 GST 2024","passed","Tue Sep 24 23:13:16 GST 2024","","UI Tests","",""
"Verifies that submenu items under different menu categories are displayed and clickable.","1414","Test Nested Menu Navigation","","Tue Sep 24 23:13:11 GST 2024","passed","Tue Sep 24 23:13:12 GST 2024","","UI Tests","",""
"Verifies that a logged-in user can add a product to the wishlist successfully.","1619","Test Add Product to Wishlist after Login","","Tue Sep 24 23:13:24 GST 2024","passed","Tue Sep 24 23:13:26 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1761","Test Footer Links","","Tue Sep 24 23:13:29 GST 2024","passed","Tue Sep 24 23:13:31 GST 2024","","UI Tests","",""
"Verifies that submenu items under different menu categories are displayed and clickable.","2187","Test Nested Menu Navigation","","Tue Sep 24 23:13:07 GST 2024","passed","Tue Sep 24 23:13:09 GST 2024","","UI Tests","",""
"Verifies that a product can be removed from the cart successfully.","1412","Test Remove Product from Cart","","Tue Sep 24 23:13:16 GST 2024","passed","Tue Sep 24 23:13:18 GST 2024","","UI Tests","",""
"Verifies that adding a product to the wishlist without logging in prompts a login message.","3002","Test Add Product to Wishlist without Login","","Tue Sep 24 23:13:20 GST 2024","passed","Tue Sep 24 23:13:23 GST 2024","","UI Tests","",""
